"","date","aal","amgn","bhp","bidu","biib","BRK-B","cmcsa","cmg","cop","cost","crm","ebay","gild","gld","gsk","KO","mrk","nke","orcl","pep","qcom","tm","TSM","uso","v","xlf"
"254","2010-05-13",0.000180839451913366,0.000245465418289341,6.51297505199293e-05,0.000239630037056042,0.000233306779267839,0.000170463044193064,2.28971501616802e-05,8.21453087282848e-06,2.40444044616083e-05,0.000222448205779726,0,2.58634607942219e-05,2.42009702231126e-05,2.65076332689978e-05,0.000243223891308076,0.000202632710442409,2.37365088088066e-05,0.000150969791593829,4.58555025156632e-05,7.30249845629493e-05,8.57271647918509e-05,8.77427056544662e-05,0.000341724247066715,0.000175591483339134,0.000118107746352996,5.02644175918998e-06
"255","2010-05-14",0.000184419797799997,0.000138019144450398,8.36794416440295e-05,0,0.000234520443446196,0.000181654942434083,2.29416267337235e-05,3.70226800362081e-05,0.00012908574514623,9.07606806597898e-05,0,2.58634607942219e-05,5.70059610252604e-05,0.000201727295860725,0.000271932863797368,0.000615439788536351,0,0.000150969791593829,4.58555025156632e-05,9.44215381661908e-05,3.0759618339282e-05,9.47711592645554e-05,0.000353676611255805,0.000138580082540465,0.000249696682335692,1.70696914048501e-05
"256","2010-05-17",0.000184419797799997,0.000270205920742173,0.0001354906836101,0.000239630037056042,0.000248864558711813,4.83051773797501e-05,2.31216277622667e-05,0.000124133611018586,0.000519654497660562,9.8477020965308e-05,0,8.5190081379706e-05,5.70059610252604e-05,0.000203401090054006,0.000223856031669793,0.000438859683761716,1.22831197796601e-05,4.15169910151676e-05,1.42731953573656e-05,8.89352499445487e-05,5.11922343224454e-05,8.55894855512889e-05,0.000353676611255805,0,0.000210788839656833,1.24367999443838e-05
"257","2010-05-18",0.000158688175189981,0.000342266200738351,0.000188113826631193,0.000239630037056042,0.000248864558711813,4.60842476603487e-05,6.81910807523706e-05,0.000124133611018586,0.000479630094058895,9.8477020965308e-05,1.2291101779246e-06,9.7686491243298e-05,9.84247316524492e-05,0.000204263900920971,0.000225642537549165,0.000403106624190087,2.85651278909385e-05,4.66872435261273e-05,7.05329877671412e-06,4.60495332232659e-05,8.19670299858486e-05,8.50263352287057e-05,0.000323844075967936,0,0.000207001070311637,1.24367999443838e-05
"258","2010-05-19",0.000153530756337434,0.000255804875767049,0.000308534288808957,3.22044946382417e-05,0.00024142070848186,4.60842476603487e-05,6.81910807523706e-05,2.52489742134849e-05,0.000394164863303788,9.6236923703095e-05,0,0.000119003723104207,4.04227593858075e-05,0.000212496253322877,0.000226456995312907,0.000355199712722489,2.85651278909385e-05,3.98610382354977e-05,1.93367603756593e-05,6.35682411999406e-05,7.27385765468811e-05,0.000118364353482675,0.000140082845979508,3.18873276539553e-05,0.000207001070311637,0.000111763253693044
"259","2010-05-20",0.000155751305364913,0.000118162037307317,0.000401377069611252,6.88179514859982e-05,0.000182356885649071,4.60842476603487e-05,6.59714510961031e-05,9.95761393387546e-05,0.000120013805993336,9.6236922022859e-05,3.64679027078309e-05,0.000114319928677885,4.04227593858075e-05,0.000212756296190778,0.000226456995312907,0.000231642189733823,2.84165999737065e-05,2.59500883525253e-05,9.9147107021019e-06,4.88880878621542e-05,5.30744313254693e-05,0.000113844079798166,0.000166904525330178,0.000137427199179539,0.000210788839656833,0.000111763253693044
"260","2010-05-21",0.000150282435252027,8.91112104555934e-06,0.000445463286465606,0.000273255479030009,7.65898114793818e-05,4.60842476603487e-05,6.59714510961031e-05,9.98856886748311e-05,0.00014558916490814,9.6236922022859e-05,5.15440234606245e-05,0.000192031995410942,1.92502065122036e-05,0.000212728368049686,0.000197709097974461,0.000213462203025682,2.84165999737065e-05,2.59500883525253e-05,9.9147107021019e-06,1.03926394557582e-05,5.30744313254693e-05,8.49409414752753e-05,8.03928576644875e-05,0.000112257455873097,0.000167011015565507,0.00013344157868737
"261","2010-05-24",0.000150282435252027,8.91112104555934e-06,0.000445463286465606,0.000311854131124191,7.65898114793818e-05,9.26417862054262e-05,6.42346564785502e-05,7.20957074656099e-05,0.00014558916490814,3.66246564179607e-05,0,9.87546405192405e-05,1.92502065122036e-05,0.000155334736908601,0.000229557498391769,0.000177266940891284,3.5566334508173e-05,2.59500883525253e-05,2.57876345590208e-05,1.03926394557582e-05,3.86996893503707e-05,8.05486094693363e-05,0,4.92564352077166e-05,0.000167011015565507,0.000132926392788609
"262","2010-05-25",0.000268916186074986,0.000311375648790939,0.000405058960611694,9.09589515089756e-05,7.39356535483873e-05,9.25336125055369e-05,6.27275489680262e-05,7.16662246705698e-05,0.000139831456410867,0.000170767872062196,2.58595835648733e-06,3.34878028925915e-05,1.92502065122036e-05,0.000152015247376413,0.000181210852813177,8.41725818028641e-05,2.84165999737065e-05,4.3717652379487e-05,0.000127417257501462,1.03926394557582e-05,3.86996893503707e-05,0.000129569139854059,0,4.78897128265308e-05,8.81530743516185e-05,0.000195647865355384
"263","2010-05-26",0.00034341180798863,0.000303105257708336,0.000405058960611694,5.230823184916e-05,5.22732335485917e-05,6.69712776685446e-05,4.13369633775161e-05,2.73159202953613e-05,0.000103604547075302,0.000167460359055138,1.72002406745958e-05,3.5345468068585e-05,1.92502065122036e-05,0.000152015247376413,0.000178678871753276,0.000103925816443374,2.84165999737065e-05,4.3717652379487e-05,0.000136080404063726,1.03926394557582e-05,3.86996893503707e-05,0.000142656875351932,0,1.98952416937119e-05,8.81530743516185e-05,0.000291306490886456
